income,debt,num_credit_cards,payment_history_score,age,creditworthy
60964.20029,18350.49178,1,395,48,0
43833.82833,16823.98399,5,489,57,0
49270.44436,25711.03293,2,752,46,0
70193.96623,35684.18401,2,491,55,0
49044.50052,13540.06572,4,785,54,0
63246.87884,7041.576163,5,565,55,0
60683.5776,17293.74361,4,723,60,1
50225.99479,38637.6747,4,427,36,0
92159.16134,11570.60346,2,537,58,0
69508.78533,31112.93444,4,654,33,0
29622.8612,31421.60651,2,411,43,0
62796.81472,13571.29407,1,745,42,1
50073.20303,22551.86463,5,642,36,1
72786.50002,31027.17299,4,444,48,0
48112.18892,14966.97807,2,364,55,0
58278.95338,16371.35712,3,546,28,0
67574.80918,13346.55269,4,789,64,1
72986.32791,9881.946154,1,738,42,1
41995.55389,12805.77964,1,405,41,0
54982.48146,8208.477866,3,480,46,0
52875.82033,18272.66775,2,483,60,0
50200.06151,11840.21415,4,525,41,0
86481.8136,19870.28729,2,388,45,0
66074.72566,5552.83483,1,829,61,1
41086.74068,20647.04186,2,670,21,0
73767.92921,24668.23169,1,698,26,1
91832.34296,2050.114859,2,405,43,0
75486.97891,20992.45256,3,570,43,0
37209.45051,27821.35194,5,802,63,0
52736.48891,8322.87185,3,824,63,1
79003.66724,31380.57909,3,331,43,0
49384.95802,21352.15207,5,692,52,0
66657.29142,12359.90515,5,339,50,0
71619.5108,17553.84738,4,517,33,0
46096.04293,22466.6153,4,381,63,0
59107.11966,18608.04313,3,500,38,0
15000,22310.04794,3,746,43,0
44634.18538,10634.61126,1,727,35,0
56211.47773,19354.88659,1,337,53,0
41283.25227,6690.284025,4,510,41,0
84486.16956,17110.19151,4,743,59,1
38547.87933,10768.73887,1,626,43,0
53399.3327,12115.76046,1,526,47,0
61961.10866,27888.7454,2,347,64,0
81619.09934,26730.48096,2,317,38,0
38462.06773,22873.10497,1,738,44,0
77447.45628,9261.497883,2,486,60,0
60153.49592,15468.7324,5,644,62,1
45277.37023,27704.7816,4,523,27,0
66931.55211,19133.73531,4,787,40,1
62985.89543,36554.63632,1,528,47,0
50996.74684,21146.54272,3,689,26,1
61047.03127,19536.39293,1,487,47,0
54220.29605,15527.06829,2,569,29,0
61702.76018,19068.32724,3,609,51,1
69931.96012,16780.24131,2,431,41,0
83790.25224,23664.86941,5,371,46,0
41432.76752,25653.61853,2,486,60,0
91995.50062,11712.08432,5,785,33,1
30718.68301,7350.136372,5,490,43,0
57723.22357,3310.357015,2,721,40,1
68824.7581,22063.93062,2,419,57,0
64214.87802,9173.067151,5,519,48,0
50659.5072,776.8752564,3,352,37,0
56878.16624,21108.62884,5,750,48,1
52604.98598,37943.99614,4,711,61,0
51159.52865,17951.43271,5,536,22,0
72744.03146,24707.9262,3,705,45,1
65355.23229,18654.63487,4,721,61,1
49606.35607,17208.88277,1,546,26,0
73493.99813,25352.61186,1,371,31,0
64609.49281,15677.80365,3,484,58,0
72192.93178,20139.13851,5,305,26,0
69444.43263,20573.58245,2,505,31,0
47565.07484,12655.27637,3,843,34,0
51597.2844,25936.3388,4,686,22,0
71209.40408,16600.32195,4,375,60,0
69155.55398,11954.03872,1,476,23,0
59686.47609,22292.07875,4,648,55,1
61759.91075,10812.25615,3,554,53,0
79164.97344,18225.44926,4,607,44,1
51126.42917,17927.04803,3,644,39,1
68206.46072,26687.16453,2,426,38,0
56967.11021,21797.58586,1,586,44,0
56734.78195,17799.78433,4,786,55,1
76481.65278,24542.13039,3,682,21,1
72381.24523,29121.66039,5,705,56,0
72202.64454,22462.48245,1,687,45,1
79582.18211,18082.82096,2,824,63,1
60315.05762,7505.310141,3,575,54,0
70229.29457,9479.090695,2,799,45,1
55345.99865,15558.20237,2,636,36,1
64862.49529,13123.90238,4,780,54,1
58047.85418,16504.22958,4,572,49,0
61454.93947,18453.1994,3,357,39,0
68927.35538,22237.54203,5,627,43,1
47726.68975,17436.00978,3,408,39,0
91385.80914,21892.01315,5,578,45,0
44909.73928,18515.79532,2,627,36,0
41787.17081,2196.267469,1,614,29,0
77371.6631,10485.31685,3,773,21,1
71874.94041,16847.29955,3,410,62,0
69361.79726,8322.442057,5,528,39,0
69425.18264,22799.42984,2,796,53,1
59816.29841,30246.00666,2,455,54,0
46541.18443,27750.09481,5,772,36,0
61137.06837,16292.45703,2,571,64,0
49842.57433,29925.80909,4,301,60,0
74626.796,19189.33966,1,810,38,1
57794.13928,15303.31223,3,585,54,0
47617.54205,13092.77869,1,312,45,0
55179.21238,15580.24251,3,797,26,1
66193.97181,14894.58545,4,537,41,0
51544.13171,19363.32978,2,393,26,0
47666.69407,19284.59185,5,637,52,0
63655.30817,18024.36816,4,470,61,0
63674.49857,21495.50536,1,766,63,1
52395.85237,27525.1702,5,442,59,0
52934.42542,25596.43308,2,500,51,0
63480.74906,6120.816252,4,479,62,0
38278.73488,0,5,663,30,0
38888.04338,25474.55929,4,778,50,0
49223.33668,7064.970413,4,770,38,0
56798.29272,16201.87678,2,683,44,1
64663.61348,8639.095792,3,716,29,1
82130.34325,3584.156499,5,607,51,1
72864.89435,22331.70183,2,666,35,1
57600.92205,24073.24128,4,300,24,0
59714.75688,13387.91679,2,343,60,0
44962.05953,0,3,397,29,0
59722.30296,13630.04441,5,564,29,0
55670.12042,21134.43204,3,439,46,0
64840.77841,6168.70745,1,780,24,1
47591.53585,19466.87936,5,536,37,0
67790.19771,17877.52121,3,371,36,0
82991.0837,22634.332,4,489,35,0
58368.59777,18956.64295,5,567,55,0
66025.67583,10215.44847,5,620,25,1
70352.15988,27572.57201,2,406,25,0
53981.69292,16731.76342,4,531,40,0
63361.38723,17781.56368,1,341,35,0
60188.88601,10533.85633,3,438,38,0
61465.14148,14453.74199,2,572,22,0
48404.85324,10921.57829,3,780,49,0
60367.65261,16616.43152,1,715,33,1
67469.97437,31693.66784,1,805,24,0
81767.15412,7024.790857,5,723,62,1
74389.06239,5091.508817,1,706,30,1
92297.73686,29769.36262,3,689,51,0
48489.78656,16325.41058,4,641,61,0
73084.80955,12647.41809,4,792,28,1
62750.13009,26319.2375,5,491,23,0
92847.044,13155.07568,3,798,29,1
47875.52572,32608.07771,3,532,50,0
47404.17237,23423.40697,1,526,31,0
51009.11032,14096.70873,3,670,55,1
28141.56414,35258.46571,2,438,57,0
52113.67467,13154.28062,1,448,62,0
48613.01008,23936.76298,2,414,33,0
62255.9068,20394.34064,5,749,56,1
65126.33964,28413.93032,4,362,33,0
88142.56259,30492.08957,5,403,32,0
74256.35757,18256.03319,4,572,57,0
51346.44517,11972.65704,5,305,30,0
46523.77993,21679.77714,3,446,29,0
67378.78757,12578.27704,2,483,27,0
40196.50189,34107.09798,4,327,22,0
87471.88149,19092.28265,1,849,43,1
77691.60181,15077.42759,2,418,59,0
52962.36522,19477.44245,1,592,60,0
34302.98206,7222.989684,2,670,59,0
80308.08561,10227.08769,2,543,41,0
58281.90232,27603.31126,5,517,43,0
78567.24468,12744.84577,4,476,49,0
36083.58512,9624.712139,4,598,34,0
51009.37466,22293.22202,2,357,46,0
60078.6555,27485.63324,3,568,25,0
60704.70891,23751.62649,3,607,51,1
53249.01793,25968.38149,1,587,45,0
69342.74899,11945.63929,1,404,51,0
43985.69356,6625.514666,5,527,40,0
57864.30772,30010.66922,2,546,64,0
61804.43448,15418.56129,1,793,37,1
67716.58251,15993.33587,1,382,22,0
70674.22317,28625.55313,2,485,45,0
43130.36862,22449.84008,5,551,33,0
36988.28744,21647.10218,1,654,59,0
79165.15233,35320.01876,5,509,48,0
64984.71018,12851.85416,4,746,62,1
48772.70195,25422.72102,5,759,26,0
83267.27963,18456.105,3,771,23,1
61735.11951,20148.73823,3,669,55,1
77689.45776,30227.74741,5,791,38,0
61012.77722,22062.68605,3,436,31,0
90911.21887,22306.36863,4,666,40,1
86330.11264,26580.0587,2,483,25,0
56265.53777,15080.37816,3,586,39,0
74573.56426,11286.32266,3,771,42,1
69680.63924,9641.526448,5,674,39,1
80529.47336,2269.147285,4,836,36,1
45526.14809,34449.65704,2,810,44,0
70290.7719,9174.333074,5,549,61,0
75876.3673,16229.97101,5,809,24,1
33618.9077,15785.4936,4,372,35,0
42251.12231,20459.25358,2,581,45,0
29411.51733,24525.8977,4,659,64,0
55958.89748,24883.78791,2,309,55,0
70763.13384,13335.38049,4,510,34,0
82535.35578,16663.02629,5,451,39,0
61111.42171,20260.6396,5,304,58,0
84429.23318,16010.47099,1,494,56,0
39298.47813,30858.76461,3,582,27,0
34449.26341,21927.79961,4,763,50,0
59166.78452,23879.02229,1,412,39,0
65760.98173,23303.05015,3,570,45,0
59509.57878,27387.79086,4,462,36,0
28988.3685,19448.17247,2,759,60,0
58663.19941,7625.344416,3,404,28,0
40432.95749,21197.50361,5,581,38,0
70045.08823,12789.14485,1,461,48,0
65498.97369,13771.06655,3,650,36,1
45901.80321,22690.91215,3,733,39,0
52291.99624,27906.26457,5,439,62,0
44111.79717,18170.17261,4,770,37,0
59059.81354,20470.6641,2,431,33,0
74327.13481,31617.71956,5,386,27,0
45214.1093,19926.02544,2,482,47,0
67560.69773,38813.46491,4,667,30,0
52046.13572,22524.07717,3,428,54,0
48106.90752,3913.897927,2,545,56,0
58394.5446,24026.73297,1,677,45,1
44471.36516,21049.26708,1,448,26,0
51695.26042,28318.02203,5,732,44,0
42031.83161,23385.45081,4,768,38,0
89470.87699,16892.35213,5,745,43,1
60528.95328,8205.61411,5,780,26,1
49504.11738,16327.81394,5,593,49,0
63209.69866,11195.83637,1,442,45,0
58315.07925,13355.8124,1,549,37,0
56685.45601,22708.62724,5,601,44,1
69212.5005,31359.23603,1,324,31,0
71362.61565,21157.37224,4,369,46,0
52042.48279,8432.935504,5,411,54,0
51362.72639,21556.82135,1,663,48,1
55874.22454,27573.05189,2,602,23,0
25471.18253,13121.73677,5,770,31,0
37272.13407,16927.86267,5,390,58,0
80503.11401,18117.50556,4,829,34,1
84674.5157,11720.8135,3,491,46,0
56264.45941,23186.24347,3,541,41,0
68648.35445,17032.41481,4,437,59,0
64668.75232,21356.25955,4,644,50,1
106183.2121,10900.06258,4,479,28,0
76793.62367,14500.3336,3,802,40,1
58081.23613,23779.05086,4,502,52,0
45666.89339,15017.33478,1,491,42,0
35903.3052,31815.71081,5,304,27,0
63051.95454,14802.91052,5,536,29,0
48654.73882,19797.47781,2,610,21,0
38666.19436,25460.72665,2,848,49,0
50301.40674,6653.074137,5,355,28,0
43776.77995,3913.529504,1,742,24,0
85307.12453,5794.749483,3,536,55,0
73224.59635,28100.67283,3,496,23,0
59880.41038,13585.13483,1,813,60,1
82199.16208,38465.59429,3,748,27,0
61160.52461,13486.01921,4,659,47,1
47080.73698,19476.41043,5,329,21,0
82846.86116,30336.87962,5,407,47,0
68083.65066,34048.74311,1,744,36,0
44441.30769,34492.02861,3,737,58,0
57144.91983,27666.92984,2,756,27,0
46865.7262,26192.50021,2,794,64,0
39258.00404,22740.21559,3,546,43,0
73892.66321,24226.88861,2,842,61,1
88641.24961,13590.51427,1,738,31,1
39021.48639,11454.40893,1,577,62,0
68444.53855,17973.00434,3,410,53,0
50240.36146,16638.52302,2,684,56,1
52693.11924,14374.17561,1,490,57,0
51114.09114,23571.09958,1,789,61,1
47040.13845,25642.44167,4,725,37,0
60727.82442,18707.25509,4,704,55,1
47535.74825,29820.24065,1,634,25,0
64056.85239,8866.487087,3,508,52,0
59246.42836,16450.72433,5,321,23,0
56415.7793,12265.42144,5,507,55,0
46386.54507,3067.707063,1,307,34,0
51348.43004,17338.55451,1,828,51,1
71330.86839,17026.01993,1,465,51,0
67513.75781,30107.59795,3,795,37,0
45336.67133,23046.49348,4,728,44,0
61489.98458,9806.505405,1,462,43,0
71270.80685,32832.74053,1,665,38,0
34958.92078,27768.26956,2,825,34,0
68150.40289,22656.78163,3,538,35,0
50060.64362,16188.12721,1,371,35,0
68558.98003,10324.48611,2,744,26,1
48551.11265,15022.34579,5,808,47,0
32926.76849,26709.98896,1,568,35,0
35586.86343,33076.69045,1,714,56,0
60721.2742,30345.94823,2,544,28,0
63895.83753,14089.20463,3,359,35,0
46435.25062,9043.060534,1,305,23,0
69578.88688,19127.08998,5,706,33,1
35077.19907,3852.485075,1,516,61,0
59008.80302,20585.34171,5,325,54,0
41834.757,16819.17931,4,304,44,0
50222.45838,14271.70799,4,831,60,1
60710.98007,5242.375462,5,689,52,1
47093.79952,22108.80085,3,747,52,0
54231.66684,13738.39328,1,445,50,0
75094.39214,8640.665314,1,687,33,1
51346.62196,0,4,548,21,0
72535.38168,17779.88076,5,825,54,1
43054.39718,32178.01277,1,761,35,0
67947.06267,31290.07372,1,312,64,0
81623.52931,14343.22995,3,683,34,1
22925.3325,13182.30352,2,698,49,0
48046.57117,21750.19405,4,318,54,0
68656.08191,10012.91649,4,790,38,1
56954.31921,20414.3352,2,718,27,1
65567.1881,24128.64223,1,636,49,1
50940.2222,27815.46579,3,718,51,0
61298.84681,17198.76739,3,421,45,0
57664.84147,16370.61,4,731,58,1
77516.73092,10976.13931,3,343,34,0
63816.31265,11384.95717,2,616,28,1
65064.03993,16188.16886,1,680,47,1
53821.84551,20938.92405,2,444,22,0
52685.90664,25308.67701,5,626,37,0
53511.62718,11574.56839,4,662,57,1
65916.78214,29941.50855,3,349,34,0
53685.23279,15831.01119,5,364,45,0
64346.62285,17829.06165,3,654,50,1
91131.01198,12022.30657,1,463,49,0
73066.87055,0,1,440,40,0
55109.64702,25072.36317,1,427,41,0
78018.20883,23894.75118,3,697,42,1
53878.8694,15749.37954,5,762,55,1
29428.13197,18535.92574,1,486,57,0
44878.70534,22127.51374,5,489,36,0
31938.12118,5499.633145,3,687,63,0
54727.29774,13767.57858,5,728,37,1
60276.27569,24354.11744,3,583,36,0
85146.55968,7965.684615,3,536,22,0
64903.91061,20348.46346,4,493,24,0
56713.49207,7147.345563,3,586,41,0
72441.08372,21731.43986,3,435,59,0
26832.97036,17714.86814,2,470,54,0
63534.21837,5078.945473,1,458,50,0
71562.97791,27317.91484,4,500,26,0
37821.20631,12123.26739,4,786,37,0
77156.31065,11517.9805,4,803,59,1
65077.44611,19604.55358,2,670,45,1
53770.68129,27189.0988,3,402,25,0
69491.72799,9873.425448,1,424,25,0
94060.39287,18493.4388,5,612,40,1
62727.99383,21430.532,3,757,36,1
63723.30879,23544.84486,2,529,61,0
53109.58651,19411.53244,3,496,57,0
47252.33446,15063.77729,3,722,60,0
72455.03725,11379.27823,2,470,29,0
47158.74261,18689.15106,4,681,25,0
61073.49356,9422.887904,4,472,62,0
52835.1383,0,1,752,22,1
67184.69739,21492.47843,1,649,29,1
65004.93158,25231.47873,4,793,63,0
75563.09916,0,5,303,56,0
52349.75402,9922.154362,3,392,42,0
55951.87597,22953.23409,5,305,42,0
45318.54426,34459.96376,3,587,42,0
53335.6011,18166.34966,4,445,54,0
65659.5074,12175.97647,1,723,49,1
71354.82925,16536.82847,1,756,58,1
46167.52014,28999.01135,5,501,53,0
73044.0888,12832.28657,1,511,38,0
80334.56788,11606.46395,4,305,27,0
66201.52355,14138.05182,5,675,21,1
88151.93719,10373.37113,3,746,53,1
48393.16201,18981.36253,1,405,21,0
41330.17945,30997.42767,2,700,44,0
33319.19627,20584.63418,1,395,24,0
82440.66467,15981.17198,3,687,24,1
69815.48485,15665.50985,5,751,38,1
59166.22994,5494.47353,3,715,47,1
64199.52939,25064.87822,2,803,63,0
43117.66429,17377.30242,4,753,52,0
96686.27969,16556.16069,1,590,53,0
61938.31773,43544.86054,5,833,48,0
61640.92192,20390.02327,4,492,62,0
70886.49936,11985.6716,3,449,61,0
67215.13848,14589.13923,5,814,56,1
63358.26036,27187.56567,4,692,26,0
48142.88317,18906.16328,5,615,36,0
67072.02536,6493.776173,2,375,54,0
88230.36745,25353.83148,2,569,43,0
80181.30069,12654.84732,1,524,62,0
83897.7994,32986.38221,1,829,44,0
52331.76485,26640.38453,2,412,33,0
45155.9277,14421.42483,5,550,38,0
58113.1962,28248.13089,2,532,33,0
60835.87368,18542.84408,1,382,57,0
76412.87278,24822.1894,2,424,63,0
34613.03055,21877.86254,2,474,59,0
82943.25479,11229.14676,5,368,62,0
57629.88152,12851.60134,4,346,37,0
53596.78395,26239.68654,1,555,35,0
44818.43437,15321.79734,5,329,38,0
35177.14992,14770.81229,2,580,43,0
72347.55876,10359.01937,2,536,50,0
61099.76951,21388.79252,4,547,54,0
40650.5865,34500.19935,1,667,24,0
40573.81842,9459.736686,1,794,23,0
54963.22951,18193.75565,3,324,27,0
85035.32288,29297.76444,1,789,38,0
56106.12973,17362.86887,4,793,62,1
37452.8557,21618.97437,3,613,27,0
56313.85404,9500.851775,3,674,60,1
55909.14645,21426.45678,2,324,26,0
19546.70036,16502.84588,2,633,42,0
59185.577,25885.83997,1,654,21,0
56535.98205,27499.08841,3,415,24,0
70443.09547,38716.50914,2,347,63,0
87734.34142,22637.06539,4,398,49,0
76898.47544,20606.37053,2,758,41,1
55966.66964,19555.07441,2,822,46,1
43402.11137,15174.66966,3,704,34,0
98600.39705,20707.87075,3,513,29,0
60888.27651,15636.78872,5,802,32,1
60208.93938,19347.68781,4,747,62,1
59638.12369,28540.78028,3,557,26,0
62971.27141,9947.659478,1,420,40,0
57834.59382,27119.02849,4,353,44,0
51395.0699,28536.92054,4,630,47,0
51797.11588,17055.45178,3,540,58,0
59508.70095,1025.160808,4,829,28,1
51848.62843,13137.4241,3,782,21,1
49307.31326,28375.95637,2,486,44,0
61596.45342,17817.0555,5,561,27,0
56175.34174,10005.58214,2,663,39,1
82559.89483,13961.80063,3,790,42,1
20235.45287,24724.96021,3,730,55,0
76372.60278,22373.86855,2,538,50,0
78691.27789,16088.54321,1,603,49,1
28899.14651,15065.40471,1,597,42,0
54859.68609,14865.93481,1,375,31,0
54428.38701,10620.71852,3,632,40,1
38887.32458,30923.00552,4,773,49,0
48332.74969,15421.43625,3,582,61,0
43341.36232,27737.26817,4,371,62,0
86284.05665,30170.52842,2,562,54,0
74035.1759,25986.48719,5,311,21,0
79073.32642,14547.0375,4,440,51,0
70825.08096,21229.84072,1,316,50,0
43064.22343,17806.43515,3,362,38,0
52132.19601,10770.38511,2,552,37,0
67340.61842,20594.87425,1,764,58,1
41668.08287,8567.681671,2,675,34,0
70694.97645,27501.43511,5,819,43,0
56395.11903,14283.06162,3,389,45,0
54377.68789,19609.27725,3,474,35,0
70664.39952,20266.30297,5,375,42,0
66663.94967,15928.76021,3,699,23,1
54585.50751,22693.55041,4,370,39,0
77389.94705,14200.77075,2,479,64,0
43784.05009,24970.37838,1,423,54,0
69239.0341,7232.162558,5,680,55,1
68896.51887,19011.03664,4,592,21,0
55356.80341,33511.43199,1,494,41,0
64891.99533,9997.349403,1,527,49,0
41233.29635,12578.04024,5,730,26,0
73860.40529,22111.2628,4,735,57,1
